Location,Latitude,Longitude,Date_Reported,Date_Occurred,Time_Occurred,Area_ID,Area_Name,Reporting_District_no,Part 1-2,Victim_Age,Victim_Sex,Victim_Descent,Premise_Description,Weapon_Used_Code,Status,Status_Description,Crime_Category,is_anomaly
7500 FOUNTAIN AV,34.0962,-118.349,1/1/2020 0:00,1/1/2020 0:00,240,6,Hollywood,644,2,38,F,O,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",102,AA,Adult Arrest,Crimes against Public Order,1
800 S FLOWER ST,34.0473,-118.2601,1/2/2020 0:00,1/1/2020 0:00,230,1,Central,162,1,31,M,O,SIDEWALK,512,AO,Adult Other,Violent Crimes,1
12500 VENICE BL,33.9978,-118.4456,1/3/2020 0:00,1/3/2020 0:00,30,14,Pacific,1434,1,0,X,X,LIQUOR STORE,106,AO,Adult Other,Property Crimes,1
13800 SHERMAN WY,34.205,-118.4339,1/3/2020 0:00,1/3/2020 0:00,5,9,Van Nuys,909,2,0,X,X,SIDEWALK,500,IC,Invest Cont,Property Crimes,1
800 N ALAMEDA ST,34.0563,-118.2374,1/5/2020 0:00,1/5/2020 0:00,2130,1,Central,119,1,0,X,X,LA UNION STATION (NOT LINE SPECIFIC),400,AA,Adult Arrest,Property Crimes,1
KESTER,34.1721,-118.4574,1/5/2020 0:00,1/5/2020 0:00,1930,9,Van Nuys,941,2,0,M,X,PARKING LOT,109,IC,Invest Cont,Crimes against Public Order,1
11400 S VERMONT AV,33.931,-118.2916,1/5/2020 0:00,1/5/2020 0:00,2120,18,Southeast,1861,1,0,X,X,MEDICAL MARIJUANA FACILITIES/BUSINESSES,109,AA,Adult Arrest,Property Crimes,1
6TH ST,34.047,-118.2526,1/6/2020 0:00,1/6/2020 0:00,755,1,Central,153,1,61,X,X,SIDEWALK,500,AA,Adult Arrest,Violent Crimes,1
1300 WILCOX AV,34.0944,-118.331,1/7/2020 0:00,1/7/2020 0:00,50,6,Hollywood,666,2,0,X,X,POLICE FACILITY,400,AA,Adult Arrest,Violent Crimes,1
19200 LINNET ST,34.1691,-118.5512,1/8/2020 0:00,1/8/2020 0:00,1300,10,West Valley,1061,1,62,F,O,SINGLE FAMILY DWELLING,200,IC,Invest Cont,Violent Crimes,1
4300 CRENSHAW BL,34.0054,-118.3338,1/9/2020 0:00,1/9/2020 0:00,1554,3,Southwest,393,1,19,X,X,CELL PHONE STORE,113,IC,Invest Cont,Property Crimes,1
4700 MORSE AV,34.1558,-118.416,1/10/2020 0:00,1/10/2020 0:00,20,9,Van Nuys,979,2,44,M,O,YARD (RESIDENTIAL/BUSINESS),111,IC,Invest Cont,Crimes against Public Order,1
7000 HOLLYWOOD BL,34.1016,-118.3417,1/11/2020 0:00,1/11/2020 0:00,1700,6,Hollywood,645,1,0,X,X,HEALTH SPA/GYM,219,IC,Invest Cont,Property Crimes,1
12100 VENTURA BL,34.1436,-118.3953,1/12/2020 0:00,1/11/2020 0:00,2300,15,N Hollywood,1591,1,0,X,X,RESTAURANT/FAST FOOD,102,AA,Adult Arrest,Property Crimes,1
15100 CALIFA ST,34.1776,-118.4618,1/12/2020 0:00,1/12/2020 0:00,1000,9,Van Nuys,941,2,0,X,X,PUBLIC STORAGE,101,AA,Adult Arrest,Crimes against Public Order,1
1700 W VENICE BL,34.0443,-118.2916,1/13/2020 0:00,1/12/2020 0:00,2300,20,Olympic,2076,1,0,X,X,RESTAURANT/FAST FOOD,500,IC,Invest Cont,Property Crimes,1
5300 S VAN NESS AV,33.9922,-118.3276,1/15/2020 0:00,1/14/2020 0:00,1930,12,77th Street,1211,2,0,X,X,STREET,106,IC,Invest Cont,Crimes against Public Order,1
2500 LINCOLN BL,33.9924,-118.4495,1/16/2020 0:00,1/16/2020 0:00,1657,14,Pacific,1444,1,0,X,X,CELL PHONE STORE,113,IC,Invest Cont,Property Crimes,1
20900 ROSCOE BL,34.2199,-118.5885,1/16/2020 0:00,1/16/2020 0:00,1805,21,Topanga,2126,1,30,F,A,PARKING LOT,102,JA,Juv Arrest,Property Crimes,1
6900 SIMPSON AV,34.1958,-118.3889,1/21/2020 0:00,1/20/2020 0:00,50,15,N Hollywood,1515,2,0,M,O,STREET,106,IC,Invest Cont,Crimes against Public Order,1
1800 JAMES M WOOD BL,34.0519,-118.2755,1/22/2020 0:00,1/22/2020 0:00,2130,2,Rampart,275,1,0,X,X,MARKET,215,IC,Invest Cont,Property Crimes,1
8400 LINCOLN BL,33.9616,-118.4208,1/22/2020 0:00,1/22/2020 0:00,320,14,Pacific,1474,1,0,X,X,RESTAURANT/FAST FOOD,101,IC,Invest Cont,Property Crimes,1
400 S BERENDO ST,34.0674,-118.2941,1/22/2020 0:00,1/22/2020 0:00,1458,20,Olympic,2026,1,48,F,A,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,AA,Adult Arrest,Crimes against Persons,1
8100 W SUNSET BL,34.098,-118.3652,1/23/2020 0:00,1/23/2020 0:00,605,6,Hollywood,632,2,0,X,X,HEALTH SPA/GYM,400,AO,Adult Other,Property Crimes,1
9300 TAMPA AV,34.244,-118.5583,1/24/2020 0:00,1/24/2020 0:00,2000,17,Devonshire,1764,1,0,X,X,DEPARTMENT STORE,400,AA,Adult Arrest,Property Crimes,1
SLAUSON AV,33.9892,-118.3024,1/24/2020 0:00,1/24/2020 0:00,2300,12,77th Street,1235,2,0,X,X,SIDEWALK,400,IC,Invest Cont,Violent Crimes,1
2800 WEST VIEW ST,34.0283,-118.3492,1/26/2020 0:00,1/26/2020 0:00,100,3,Southwest,331,2,19,X,X,SINGLE FAMILY DWELLING,106,IC,Invest Cont,Crimes against Public Order,1
13900 SHERMAN WY,34.2012,-118.4356,1/26/2020 0:00,1/26/2020 0:00,1,9,Van Nuys,916,1,71,F,O,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",207,IC,Invest Cont,Crimes against Public Order,1
1700 N SEPULVEDA BL,34.0998,-118.4783,1/27/2020 0:00,1/27/2020 0:00,1300,8,West LA,805,2,0,X,X,STREET,109,IC,Invest Cont,Crimes against Public Order,1
10000 GOTHIC AV,34.2519,-118.4893,1/28/2020 0:00,1/28/2020 0:00,1,17,Devonshire,1758,2,55,F,O,SINGLE FAMILY DWELLING,400,AA,Adult Arrest,Violent Crimes,1
5900 PICO BL,34.0517,-118.3675,1/29/2020 0:00,1/29/2020 0:00,432,7,Wilshire,762,1,0,M,O,OTHER STORE,102,IC,Invest Cont,Property Crimes,1
1400 E 15TH ST,34.026,-118.246,1/30/2020 0:00,1/29/2020 0:00,232,13,Newton,1317,1,0,X,X,OTHER BUSINESS,506,IC,Invest Cont,Property Crimes,1
20600 TRIBUNE ST,34.2663,-118.5815,1/31/2020 0:00,1/31/2020 0:00,1930,17,Devonshire,1723,1,47,F,O,SINGLE FAMILY DWELLING,500,IC,Invest Cont,Property Crimes,1
