Location;Latitude;Longitude;Time_Occurred;Area_ID;Area_Name;Reporting_District_no;Part 1-2;Victim_Age;Victim_Sex;Victim_Descent;Premise_Description;Weapon_Used_Code;Weapon_Description;Status;Status_Description;Crime_Category
4500 CARPENTER AV;34,1522;-118,391;1800;15;N Hollywood;1563;1;75;M;W;STREET;None;None;IC;Invest Cont;Property Crimes
45TH ST;34,0028;-118,2391;1345;13;Newton;1367;1;41;M;H;SWAP MEET;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Property Crimes
600 E MARTIN LUTHER KING JR BL;34,0111;-118,2653;605;13;Newton;1343;2;67;M;B;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Property Crimes
14900 ORO GRANDE ST;34,2953;-118,459;1800;19;Mission;1924;1;61;M;H;STREET;None;None;IC;Invest Cont;Property Crimes
7100 S VERMONT AV;33,9787;-118,2918;1130;12;77th Street;1245;1;0;X;X;MINI-MART;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Property Crimes
300 N AVENUE 57;34,1127;-118,1942;256;11;Northeast;1118;2;50;M;H;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Violent Crimes
1600 N SOTO ST;34,0623;-118,198;1840;4;Hollenbeck;448;1;0;X;X;LIQUOR STORE;None;None;IC;Invest Cont;Property Crimes
12600 BRADDOCK DR;33,9864;-118,4239;1100;14;Pacific;1455;1;68;F;W;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);None;None;IC;Invest Cont;Property Crimes
5500 COLDWATER CA AV;34,1781;-118,4179;1600;9;Van Nuys;939;1;0;Unknown;Unknown;DRIVEWAY;None;None;IC;Invest Cont;Property Crimes
11500 AVIATION BL;33,9298;-118,3784;445;14;Pacific;1499;2;22;F;H;PARKING LOT;None;None;AA;Adult Arrest;Property Crimes
MASON AV;34,2536;-118,5913;1200;17;Devonshire;1752;2;22;F;W;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);None;None;AO;Adult Other;Other Crimes
5800 BONSALLO AV;33,9875;-118,286;1430;12;77th Street;1239;1;22;M;H;YARD (RESIDENTIAL/BUSINESS);511;VERBAL THREAT;IC;Invest Cont;Violent Crimes
100 THE GROVE DR;34,0761;-118,3563;500;7;Wilshire;724;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
AFTON;34,0944;-118,3277;215;6;Hollywood;666;1;50;M;W;SIDEWALK;207;OTHER KNIFE;IC;Invest Cont;Crimes against Public Order
1600 S GRAND AV;33,7293;-118,2902;920;5;Harbor;563;1;31;M;H;SINGLE FAMILY DWELLING;102;HAND GUN;IC;Invest Cont;Crimes against Public Order
3000 JOHNSTON ST;34,0805;-118,2087;1700;4;Hollenbeck;414;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
23100 SHERMAN WY;34,1998;-118,63;1315;21;Topanga;2133;1;46;F;O;OTHER BUSINESS;None;None;IC;Invest Cont;Property Crimes
2800 WESTSHIRE DR;34,1214;-118,3203;1630;6;Hollywood;627;2;31;M;W;SINGLE FAMILY DWELLING;500;UNKNOWN WEAPON/OTHER WEAPON;AO;Adult Other;Crimes against Public Order
3200 GRAND VIEW BL;34,015;-118,4389;1400;14;Pacific;1424;1;72;M;O;OTHER BUSINESS;None;None;IC;Invest Cont;Property Crimes
