Location,Latitude,Longitude,Date_Reported,Date_Occurred,Time_Occurred,Area_ID,Area_Name,Reporting_District_no,Part 1-2,Victim_Age,Victim_Sex,Victim_Descent,Premise_Description,Weapon_Used_Code,Status,Status_Description,Crime_Category
18700 SUNBURST ST,34.2346,-118.5403,1/1/2020 0:00,1/1/2020 0:00,15,17,Devonshire,1785,2,27,F,W,ALLEY,400,AO,Adult Other,Violent Crimes
8100 VINELAND AV,34.2175,-118.3703,1/1/2020 0:00,1/1/2020 0:00,1800,16,Foothill,1687,2,36,M,H,PARK/PLAYGROUND,400,IC,Invest Cont,Violent Crimes
900 E 112TH ST,33.9328,-118.2556,1/1/2020 0:00,1/1/2020 0:00,1215,18,Southeast,1844,1,27,F,H,DRIVEWAY,500,AO,Adult Other,Violent Crimes
300 E GAGE AV,33.9857,-118.2628,1/1/2020 0:00,1/1/2020 0:00,1520,13,Newton,1385,2,69,M,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511,AO,Adult Other,Crimes against Public Order
VICTORY,34.1866,-118.536,1/1/2020 0:00,1/1/2020 0:00,1945,10,West Valley,1033,2,59,M,O,STREET,400,IC,Invest Cont,Violent Crimes
600 S RAMPART BL,34.0624,-118.2813,1/1/2020 0:00,1/1/2020 0:00,255,2,Rampart,251,2,31,F,H,SIDEWALK,511,AA,Adult Arrest,Crimes against Public Order
11200 WESTMINSTER AV,34.0172,-118.423,1/1/2020 0:00,1/1/2020 0:00,330,14,Pacific,1436,2,13,F,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,IC,Invest Cont,Violent Crimes
600 N SAINT ANDREWS PL,34.0817,-118.3112,1/1/2020 0:00,1/1/2020 0:00,430,20,Olympic,2002,2,41,M,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,AO,Adult Other,Violent Crimes
5200 WILSHIRE BL,34.0622,-118.3429,1/1/2020 0:00,1/1/2020 0:00,200,7,Wilshire,737,1,21,F,W,SINGLE FAMILY DWELLING,200,AO,Adult Other,Violent Crimes
400 S LA CIENEGA BL,34.0735,-118.3828,1/1/2020 0:00,1/1/2020 0:00,40,7,Wilshire,721,2,39,F,W,HOTEL,400,AO,Adult Other,Violent Crimes
200 E 68TH ST,33.9779,-118.2717,1/1/2020 0:00,1/1/2020 0:00,200,13,Newton,1394,2,29,F,H,"VEHICLE, PASSENGER/TRUCK",400,IC,Invest Cont,Property Crimes
1100 W 66TH ST,33.9791,-118.2959,1/1/2020 0:00,1/1/2020 0:00,1500,12,77th Street,1245,2,24,F,H,SINGLE FAMILY DWELLING,400,AO,Adult Other,Violent Crimes
STAUNTON,33.9921,-118.243,1/1/2020 0:00,1/1/2020 0:00,500,13,Newton,1377,1,36,M,H,SIDEWALK,109,AO,Adult Other,Violent Crimes
